Designator,Mid X,Mid Y,Rotation,Layer
BAT1,93.218,-81.6034,0.0,bottom
BAT2,105.5624,-86.7918,-90.0,top
C1,98.3996,-95.9612,0.0,top
C2,98.3996,-92.964,0.0,top
C3,79.4004,-86.7664,-90.0,top
C4,82.4992,-77.4192,-90.0,top
C5,79.502,-77.4548,-90.0,top
C6,99.1616,-71.8293,90.0,top
C7,102.9208,-77.3684,-90.0,top
D1,81.534,-95.4532,-90.0,top
J3,105.9996,-70.9926,-90.0,top
J4,86.0244,-70.8391,90.0,top
J5,79.4712,-70.8899,90.0,top
LED1,79.8068,-102.9716,180.0,top
LED2,79.8068,-106.3244,180.0,top
P1,92.6872,-106.4629,0.0,top
Q1,95.1484,-87.7824,180.0,top
Q2,87.4776,-83.0072,180.0,top
Q3,87.4776,-77.8256,180.0,top
R1,84.1756,-102.9208,0.0,top
R2,84.1756,-106.3244,0.0,top
R4,105.7656,-77.3176,-90.0,top
R5,82.7024,-86.7664,-90.0,top
R6,100.6856,-102.6668,180.0,top
R7,100.584,-106.2228,180.0,top
R8,92.3544,-71.8293,90.0,top
R9,95.6564,-71.8293,90.0,top
R_Prog,98.3996,-98.9076,0.0,top
U1,91.4908,-96.1136,180.0,top
U2,88.2904,-89.2556,90.0,top
U3,95.9104,-80.2132,0.0,top
USB1,106.2478,-102.9916,0.0,top
VIN1,106.172,-94.6862,0.0,top
