Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5, C7",C_0805_2012Metric,4,2.7p,
C10,C_0805_2012Metric,1,5.6p,
"C11, C2, C6",C_0805_2012Metric,3,10p,
"C12, C13, C14",C_0805_2012Metric,3,1n,
C15,C_0805_2012Metric,1,47p,
"C4, C8",C_0805_2012Metric,2,470p,
C9,C_0805_2012Metric,1,DNP,
D1,SOT95P237X112-3N,1,SMS7630-005LF,
FL1,SON120P300X300X110-6N,1,B39871B3725U410,
IC1,SOT95P280X145-5N,1,TLV3201AIDBVR,
"J1, J2, J3",U.FL_Hirose_U.FL-R-SMT-1_Vertical,3,Conn_Coaxial,
J4,PinHeader_1x07_P2.54mm_Vertical,1,Connector,
"L1, L2",L_0805_2012Metric,2,15n,
L3,L_0805_2012Metric,1,27n,
R1,R_0805_2012Metric,1,DNP,
"R10, R8",R_0805_2012Metric,2,7.5k,
"R11, R13, R17, R18, R19, R2, R3, R4, R5",R_0805_2012Metric,9,0,
R14,R_0805_2012Metric,1,200k,
R15,R_0805_2012Metric,1,6.8k,
R16,R_0805_2012Metric,1,1M,
R6,R_0805_2012Metric,1,10M,
"R7, R9",R_0805_2012Metric,2,100k,
"U1, U2",SOT95P280X145-6N,2,MAX2640AUT+,
"U3, U4",SOT95P280X145-5N,2,TSV6391AILT,
